SID,C_org,Texture,LayerDepth,BulkDensityClass,Stone,C/N,C/S,RootDepth,NumberHorizon,FieldCapacity,WiltingPoint,PoreVolume,Sand,Silt,Clay,DrainageDepth,Drainage%,GroundWaterLevel
066,0.40,SL2,03,4,00,10,00,13,02,15,07,36,88,07,05,20,00,99
066,0.23,SL2,20,4,00,10,00,,,13,06,36,89,06,05,20,00,   
067,0.75,LS3,03,2,00,10,00,05,02,29,16,47,44,35,21,20,00,99
067,0.47,LU,20,2,00,10,00,,,29,18,48,40,35,25,20,00,   
068,1.20,ULS,03,2,00,10,00,13,02,30,15,44,35,54,11,20,00,99
068,0.25,LS2,20,2,00,10,00,,,27,19,47,37,43,20,20,00,   
069,1.06,LS3,03,2,00,10,00,05,02,30,16,47,42,38,20,20,00,99
069,0.43,TU3,20,1,00,10,00,,,32,21,51,33,31,36,20,00,   
070,0.87,SL3,03,3,00,10,00,13,02,21,09,40,79,12,09,20,00,99
070,0.26,SL3,20,3,00,10,00,,,17,08,40,79,11,10,20,00,   
071,0.57,SL3,03,3,00,10,00,13,02,19,09,39,80,12,08,20,00,99
071,0.24,SL3,20,3,00,10,00,,,17,08,40,79,11,10,20,00,   
072,0.93,SL3,03,3,00,10,00,13,02,23,10,41,74,16,10,20,00,99
072,0.23,SL4,20,2,00,10,00,,,21,11,44,68,16,16,20,00,   
073,0.86,LS2,03,2,00,10,00,13,02,30,17,47,39,40,21,20,00,99
073,0.38,LS3,20,2,00,10,00,,,27,18,47,41,38,21,20,00,   
074,0.89,SL3,03,3,00,10,00,13,02,22,10,40,76,14,10,20,00,99
074,0.60,LU,20,2,00,10,00,,,27,14,47,60,14,26,20,00,   
075,0.90,SL2,03,3,00,10,00,13,02,22,09,38,73,21,06,20,00,99
075,0.30,SL4,20,3,00,10,00,,,22,12,43,61,27,12,20,00,   
076,0.50,SL2,03,4,00,10,00,15,02,16,07,36,89,06,05,20,00,99
076,0.30,SL2,20,4,00,10,00,,,14,06,36,89,06,05,20,00,   
077,2.18,SS,03,4,00,10,00,15,02,22,09,35,87,09,04,20,00,99
077,0.39,SS,20,4,00,10,00,,,15,07,34,88,08,04,20,00,   
078,1.20,TL,03,1,00,10,00,13,02,39,22,52,31,22,47,20,00,99
078,0.59,TL,20,1,00,10,00,,,39,23,53,27,20,53,20,00,   
079,1.97,SU2,03,4,00,10,00,15,02,22,09,35,86,10,04,20,00,99
079,0.91,SL2,20,4,00,10,00,,,19,08,36,85,10,05,20,00,   
080,39.4,LT2,03,1,00,10,00,15,02,38,18,91,35,33,32,20,00,99
080,38.5,LU,20,1,00,10,00,,,36,15,91,52,23,25,20,00,   
081,1.68,LU,03,2,00,10,00,13,02,33,18,49,35,40,25,20,00,99
081,0.68,LT2,20,2,00,10,00,,,33,21,51,30,36,34,20,00,   
082,0.93,SL3,03,3,00,10,00,15,02,23,10,41,74,16,10,20,00,99
082,0.23,SL4,20,2,00,10,00,,,21,11,44,68,16,16,20,00,   
083,1.59,ULS,03,2,00,10,00,13,02,32,16,46,31,54,15,20,00,99
083,0.20,LU,20,2,00,10,00,,,29,24,49,24,50,26,20,00,   
