Field_ID  Ti Typ date
          cm  
NEU000001 30 1   15092009
NEU000001 30 1   10092010
NEU000001 30 1   10082011
NEU000001 30 1   15092012
NEU000001 30 1   18082013
NEU000001 30 1   20082014
NEU000001 30 1   15082015
NEU000001 15 0   05092016
NEU000001 30 1   05092016
NEU000001 15 0   15082017
NEU000001 28 1   18082017
NEU000001 28 1   19082017
NEU000001 04 0   01082018
FRD000001 30 1   15092009
FRD000001 30 1   10082010
FRD000001 30 1   15092011
FRD000001 30 1   15092012
FRD000001 30 1   10092013
FRD000001 30 1   20082014
FRD000001 30 1   15092015
FRD000001 30 1   19042017
FRD000001 15 0   19042017
FRD000001 15 0   21042017
FRD000001 15 0   18102017
FRD000001 30 1   23112017
FRD000001 15 0   31032017
FRD000001 15 0   06052017
FRD000001 15 0   17102017
FRD000001 15 0   15042018
FRD000001 30 1   17042018
FRD000001 10 0   01092018
FRD000001 30 0   15092018
SPO000001 30 1   10092009
SPO000001 30 1   10082010
SPO000001 30 1   15092011
SPO000001 30 1   15092012
SPO000001 30 1   10082013
SPO000001 30 1   20092014
SPO000001 30 1   10092015
SPO000001 15 0   13072016
SPO000001 15 0   05082016
SPO000001 30 1   09082016
SPO000001 15 0   17082016
SPO000001 15 0   07082017
SPO000001 25 0   28092017
SPO000001 15 0   24072018
SPO000001 30 1   10092018
SPO000001 15 0   16092018
HIH000001 30 1   10082009
HIH000001 30 1   10092010
HIH000001 30 1   19082011
HIH000001 30 1   15092012
HIH000001 30 1   10092013
HIH000001 30 1   20092014
HIH000001 30 1   20082015
HIH000001 30 1   15092016
HIH000001 10 0   05082017
HIH000001 30 1   15082017
HIH000001 30 0   02092018
KRL000001 30 1   08102009
KRL000001 30 1   10092010
KRL000001 30 1   19082011
KRL000001 30 1   15082012
KRL000001 30 1   10092013
KRL000001 30 1   20102014
KRL000001 30 1   20102015
KRL000001 30 1   15102016
KRL000001 30 1   05082017
KRL000001 32 0   13082018
KRL000001 15 0   18082018
HOZ000001 30 1   15082009
HOZ000001 30 1   15092010
HOZ000001 30 1   10092011
HOZ000001 30 1   15082012
HOZ000001 30 1   15092013
HOZ000001 30 1   10092014
HOZ000001 30 1   15082015
HOZ000001 15 0   26092016
HOZ000001 12 0   27082017
HOZ000001 25 0   15082017
HOZ000001 25 1   17092017
HOZ000001 15 0   30082017
HOZ000001 15 0   20072018
HOZ000001 30 0   12082018
HOZ000001 15 0   15082018
SUC000001 30 1   10042010
SUC000001 30 1   10042011
SUC000001 30 1   10042012
SUC000001 30 1   10042013
SUC000001 30 1   10042014
SUC000001 30 1   10042015
SUC000001 30 1   10042016
SUC000001 15 0   17042017
SUC000001 15 0   02032018
SUC000001 30 1   26032018
SUC000001 30 0   18042018
SUC000001 15 0   30082018
SUC000001 30 0   31082018
SUC000001 30 1   07092018
SUC000001 15 0   16092018
KPR000001 30 1   20082011
KPR000001 30 1   15092012
KPR000001 30 1   10092013
KPR000001 30 1   20082014
KPR000001 30 1   10092015
KPR000001 32 1   28082016
KPR000001 15 0   29082016
KPR000001 15 0   30082016
KPR000001 30 1   01092016
KPR000001 15 0   20092016
KPR000001 15 0   28082017
KPR000001 30 1   29082017
KPR000001 15 0   29082017
KPR000001 30 0   05092017
KPR000001 15 0   22092017
KPR000001 30 1   21032018
KPR000001 15 0   16072018
KPR000001 15 0   03082018
KPR000001 30 0   05042019
KBE000001 30 0   05042019
SUC000002 30 1   10042010
SUC000002 30 1   10042011
SUC000002 30 1   10042012
SUC000002 30 1   10042013
SUC000002 30 1   10042014
SUC000002 30 1   10042015
SUC000002 30 1   10042016
SUC000002 15 0   17042017
SUC000002 15 0   02032018
SUC000002 30 1   26032018
SUC000002 30 0   18042018
SUC000002 15 0   30082018
SUC000002 30 0   31082018
SUC000002 30 1   07092018
SUC000002 15 0   16092018
end
