Field_ID N Frt date
HIH000001 040 AS  30042014
HIH000001 060 URE 18022015
HIH000001 027 AS  26022015
HIH000001 083 URE 08042015
HIH000001 046 URE 20052015
HIH000001 032 KAS 01032016
HIH000001 069 URE 05032016
HIH000001 053 AS  10032016
HIH000001 069 URE 10042016
HIH000001 046 URE 28022017
HIH000001 035 AS  04032017
HIH000001 064 URE 10042017
HIH000001 046 URE 12052017
HIH000001 015 AHL 20062017
HIH000001 038 AHL 25082017
HIH000001 101 URE 20032018
HIH000001 053 AS  05042018
HIH000001 032 AS  25022019
HIH000001 060 URE 28022019
HIH000001 060 URE 27032019
HIH000001 046 URE 10042019
KRL000001 003 RGF 06102009
KRL000001 220 KAS 04032010
KRL000001 027 KAS 28022011
KRL000001 070 RGF 15082011
KRL000001 130 URE 01032012
KRL000001 030 KAS 14042012
KRL000001 098 GR  10082012
KRL000001 077 GR  24082012
KRL000001 100 URE 03032013
KRL000001 081 KAS 10042013
KRL000001 083 URE 26022014
KRL000001 054 KAS 30042014
KRL000001 054 KAS 04062014
KRL000001 100 GR  25022014
KRL000001 080 URE 18022015
KRL000001 046 URE 02052015
KRL000001 021 AS  03052015
KRL000001 018 DAP 04052015
KRL000001 117 GR  20082015
KRL000001 094 GR  28042016
KRL000001 102 GR  20052016
KRL000001 046 URE 25042016
KRL000001 018 DAP 26042016
KRL000001 021 AS  27042016
KRL000001 082 RGF 22052016
KRL000001 079 GR  19092016
KRL000001 014 URE 28022017
KRL000001 017 KAS 10042017
KRL000001 066 AS  03032018
HOZ000001 185 KAS 03032010
HOZ000001 204 KAS 04032011
HOZ000001 162 KAS 28022012
HOZ000001 097 GR  15082012
HOZ000001 040 AS  03032013
HOZ000001 099 URE 10042013
HOZ000001 018 AS  02032014
HOZ000001 043 URE 04032014
HOZ000001 028 DAP 10042014
HOZ000001 051 URE 11042014
HOZ000001 055 KAS 12042014
HOZ000001 055 ASS 10032015
HOZ000001 060 NPK 14042015
HOZ000001 060 NPK 29042015
HOZ000001 105 RD  10082015
HOZ000001 028 GR  11082015
HOZ000001 123 ASS 24022016
HOZ000001 014 NPK 01042016
HOZ000001 072 PIA 06032017
HOZ000001 016 ALZ 08032017
HOZ000001 018 DAP 07042017
HOZ000001 054 PIA 18042017
HOZ000001 042 KAS 23052017
HOZ000001 033 PIA 13062017
HOZ000001 059 GR  22082017
HOZ000001 015 AS  19022018
HOZ000001 061 URE 21032018
HOZ000001 028 KAS 13042018
HOZ000001 046 KAS 23042018
HOZ000001 022 KAS 09052018
SUC000001 181 RD  10032010
SUC000001 098 RGF 10042010
SUC000001 018 DAP 23042010
SUC000001 041 KAS 14052010
SUC000001 109 RGF 10042011
SUC000001 071 URE 20042011
SUC000001 031 NPK 15052011
SUC000001 075 RGF 10032012
SUC000001 134 RD  10042012
SUC000001 033 NPK 20042012
SUC000001 035 URE 15052012
SUC000001 001 RGF 10042013
SUC000001 017 NPK 20042013
SUC000001 046 URE 15052013
SUC000001 146 RD  12032014
SUC000001 057 RGF 10042014
SUC000001 033 NPK 16042014
SUC000001 117 RD  16032015
SUC000001 034 NPK 16042015
SUC000001 081 URE 15052015
SUC000001 054 RGF 06032016
SUC000001 055 RD  07032016
SUC000001 038 NPK 11042016
SUC000001 070 URE 17052016
SUC000001 096 RD  15032017
SUC000001 054 RGF 30032017
SUC000001 036 NPK 19042017
SUC000001 096 RD  15032018
SUC000001 037 RGF 25032018
SUC000001 048 NPK 19042018
SUC000001 050 URE 31052018
SUC000001 064 URE 27022019
KPR000001 009 RGF 20082010
KPR000001 007 RGF 25082010
KPR000001 040 URE 28082011
KPR000001 039 AS  28022012
KPR000001 136 URE 15032012
KPR000001 012 AHL 10042012
KPR000001 050 RGF 15082012
KPR000001 017 RGF 05092012
KPR000001 019 DAP 03032013
KPR000001 052 KAS 22032013
KPR000001 025 AS  18042013
KPR000001 033 URE 10052013
KPR000001 023 GR  26082013
KPR000001 039 GR  03022014
KPR000001 026 DAP 17022014
KPR000001 028 AS  26032014
KPR000001 032 URE 03042014
KPR000001 021 URE 23042014
KPR000001 046 AS  19022015
KPR000001 016 DAP 10032015
KPR000001 074 URE 19032015
KPR000001 015 DAP 28022016
KPR000001 033 AS  01032016
KPR000001 036 URE 09032016
KPR000001 039 RGF 01042016
KPR000001 058 URE 17052016
KPR000001 041 URE 03062016
KPR000001 080 URE 12022017
KPR000001 049 RGF 04032017
KPR000001 009 DAP 25032017
KPR000001 026 AS  26032017
KPR000001 011 RGF 20082017
KPR000001 008 RGF 23082017
KPR000001 031 AS  08022018
KPR000001 027 URE 11022018
KPR000001 016 RGF 22032018
KPR000001 011 RGF 16042018
KPR000001 021 AS  19042018
KPR000001 044 URE 03052018
KPR000001 077 URE 04052018
KAB000001 137 AHL 04032010
KAB000001 100 AHL 18042010
KAB000001 120 AHL 04032011
KAB000001 078 AHL 18042011
KAB000001 192 AHL 04032012
KAB000001 135 AHL 04032013
KAB000001 072 NTS 18042013
KAB000001 148 AHL 28022014
KAB000001 094 AHL 28022015
KAB000001 072 MS  10042015
KAB000001 005 URE 20042015
KAB000001 039 MS  28022016
KAB000001 051 AHL 20032016
KAB000001 135 AHL 10042016
KAB000001 041 MS  28022017
KAB000001 028 AHL 20032017
KAB000001 023 DAP 10042017
KAB000001 065 AHL 01052017
KAB000001 009 DAP 20082017
KAB000001 035 MS  28022018
KAB000001 056 AHL 23032018
KAB000001 018 AHL 10042018
KAB000001 007 NPK 12042018
BAB000001 075 RGF 10082009
BAB000001 019 KAS 24082009
BAB000001 110 URE 02032010
BAB000001 063 AS  10042010
BAB000001 104 URE 04032011
BAB000001 042 KAS 15042011
BAB000001 084 URE 10052011
BAB000001 075 RGF 10042012
BAB000001 069 RGF 20042012
BAB000001 049 URE 04052012
BAB000001 058 KSL 18052012
BAB000001 046 URE 02032013
BAB000001 140 NTS 15042013
BAB000001 049 RGF 15082013
BAB000001 101 URE 28022014
BAB000001 027 KAS 20032014
BAB000001 046 AS  12042014
BAB000001 011 AHL 20042014
BAB000001 138 NTS 02032015
BAB000001 054 URE 15042015
BAB000001 030 NS2 08052014
KBE000001 092 URE 28022011
KBE000001 046 AS  20032011
KBE000001 035 URE 10042011
KBE000001 027 DAP 28042011
KBE000001 069 URE 03032012
KBE000001 046 URE 20032012
KBE000001 009 DAP 22032012
KBE000001 025 AS  10042012
KBE000001 027 DAP 20082012
KBE000001 085 URE 28022013
KBE000001 046 AS  20032013
KBE000001 046 URE 10042013
KBE000001 025 AS  28022014
KBE000001 161 URE 02042014
KBE000001 009 DAP 04052014
KBE000001 078 URE 20082014
KBE000001 023 URE 28022015
KBE000001 074 URE 20032015
KBE000001 046 AS  03042015
KBE000001 027 DAP 28042015
KBE000001 006 MAP 28082015
KBE000001 027 KAS 28022016
KBE000001 004 AHL 04032016
KBE000001 152 URE 19032016
KBE000001 025 AS  20042016
KBE000001 183 URE 05032017
KBE000001 006 MAP 10042017
KBE000001 025 AS  29042017
KBE000001 096 URE 28022018
KBE000001 018 DAP 20032018
KBE000001 014 AHL 10042018
KBE000001 048 AS  28042018
SUC000002 181 RD  10032010
SUC000002 098 RGF 10042010
SUC000002 018 DAP 23042010
SUC000002 041 KAS 14052010
SUC000002 109 RGF 10042011
SUC000002 071 URE 20042011
SUC000002 031 NPK 15052011
SUC000002 075 RGF 10032012
SUC000002 134 RD  10042012
SUC000002 033 NPK 20042012
SUC000002 035 URE 15052012
SUC000002 001 RGF 10042013
SUC000002 017 NPK 20042013
SUC000002 046 URE 15052013
SUC000002 146 RD  12032014
SUC000002 057 RGF 10042014
SUC000002 033 NPK 16042014
SUC000002 117 RD  16032015
SUC000002 034 NPK 16042015
SUC000002 081 URE 15052015
SUC000002 054 RGF 06032016
SUC000002 055 RD  07032016
SUC000002 038 NPK 11042016
SUC000002 070 URE 17052016
SUC000002 096 RD  15032017
SUC000002 054 RGF 30032017
SUC000002 036 NPK 19042017
SUC000002 096 RD  15032018
SUC000002 037 RGF 25032018
SUC000002 048 NPK 19042018
SUC000002 050 URE 31052018
SUC000002 064 URE 27022019
end
