Field_ID N Frt date
NEU000001 124 URE 06032010
NEU000001 027 KAS 20032010
NEU000001 066 URE 15042010
NEU000001 094 KAS 05032011
NEU000001 049 URE 28032011
NEU000001 081 KAS 06032012
NEU000001 007 AHL 10032012
NEU000001 018 DAP 22032012
NEU000001 099 URE 18042012
NEU000001 052 ASS 02032013
NEU000001 138 URE 15042013
NEU000001 027 KAS 29052013
NEU000001 018 DAP 24092013
NEU000001 054 KAS 05032014
NEU000001 092 URE 28032014
NEU000001 018 DAP 08092014
NEU000001 032 AS  06032015
NEU000001 069 URE 20032015
NEU000001 083 URE 07042015
NEU000001 018 DAP 02092015
NEU000001 027 KAS 02032016
NEU000001 069 URE 09032016
NEU000001 055 URE 22042016
NEU000001 054 KAS 06062016
NEU000001 069 URE 03032017
NEU000001 010 AS  13032017
NEU000001 018 DAP 15032017
NEU000001 046 URE 12042017
NEU000001 018 DAP 22022018
NEU000001 092 URE 28022018
NEU000001 083 URE 26032018
FRD000001 094 GR  21082009
FRD000001 083 URE 02032010
FRD000001 134 KAS 20042010
FRD000001 129 GR  20082010
FRD000001 081 KAS 26022011
FRD000001 113 URE 04042011
FRD000001 017 AHL 23042011
FRD000001 063 GR  21082011
FRD000001 081 URE 02032012
FRD000001 106 KAS 20042012
FRD000001 031 RGF 21082012
FRD000001 090 URE 02032013
FRD000001 129 KAS 20042013
FRD000001 050 RGF 21082013
FRD000001 063 URE 26022014
FRD000001 058 KAS 04042014
FRD000001 058 URE 23042014
FRD000001 071 RGF 08072014
FRD000001 092 URE 19022015
FRD000001 095 RGF 23022015
FRD000001 131 RGF 24032015
FRD000001 014 AHL 15042015
FRD000001 011 AHL 07052015
FRD000001 074 PIA 16022016
FRD000001 020 DAP 16032016
FRD000001 080 RGF 19042016
FRD000001 018 DAP 06052016
FRD000001 035 RGF 31032017
FRD000001 018 DAP 05052017
FRD000001 101 URE 22052017
FRD000001 017 RGF 23052017
FRD000001 036 DAP 20042018
FRD000001 081 KAS 28042018
FRD000001 034 AS  15022019
FRD000001 088 KAS 01042019
FRD000001 047 AHL 15042019
FRD000001 010 MOP 16042019
SPO000001 090 KAS 11042010
SPO000001 082 GR  18082010
SPO000001 080 ASS 08032011
SPO000001 050 KAS 29032011
SPO000001 025 NPK 20042011
SPO000001 060 ASS 05032012
SPO000001 100 KAS 19042012
SPO000001 060 ASS 28022013
SPO000001 100 KAS 11042013
SPO000001 046 GR  30072013
SPO000001 016 NPK 08032014
SPO000001 090 ASS 29032014
SPO000001 072 KAS 20042014
SPO000001 007 NPK 08082014
SPO000001 060 KAS 09032015
SPO000001 060 ASS 07042015
SPO000001 060 KAS 08052015
SPO000001 060 KAS 28022016
SPO000001 060 ASS 11042016
SPO000001 009 GR  12072016
SPO000001 119 RD  13072016
SPO000001 080 ASS 08032017
SPO000001 055 KAS 29032017
SPO000001 060 KAS 06032018
SPO000001 060 ASS 16042018
HIH000001 160 URE 05032010
HIH000001 042 AS  10042010
HIH000001 027 KAS 28022011
HIH000001 185 URE 10042011
HIH000001 027 AS  12052011
HIH000001 153 URE 05032012
HIH000001 042 AS  10042012
HIH000001 197 URE 28022013
HIH000001 027 AS  14042013
HIH000001 092 URE 15042014
